"","Loan_ID","Loan_Status","Male","Female","Married_yes","Married_no","Education_grad","Education_not_grad","Self_Employed_yes","Self_Employed_no","Credit_History_good","Credit_History_bad","Rural","Urban","Semiurban","Dependents","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","loan_granted","monthly_payment","TotalIncome","payment_ratio","prediction"
"25","LP002068","Y",1,0,0,1,1,0,0,1,0,1,1,0,0,0,-0.0796293935113891,-0.554035609238776,-0.196014507715106,0.279622559015191,TRUE,-0.225589749759102,-0.32633763315796,0.0734413486091338,FALSE
"26","LP002086","N",0,1,1,0,1,0,0,1,1,0,0,1,0,0,-0.175225402054608,0.283555630718005,-0.433889609478274,0.279622559015191,FALSE,-0.33427390133983,-0.0372685568064627,0.0450406184486373,TRUE
"27","LP002367","N",0,1,0,1,0,1,0,1,1,0,1,0,0,1,-0.130537541896562,-0.554035609238776,-0.778808507034869,0.279622559015191,FALSE,-0.491865921131887,-0.374490007418975,0.0488493269648285,TRUE
"28","LP002473","N",1,0,1,0,1,0,0,1,1,0,0,0,1,0,0.479705471543711,-0.554035609238776,0.160798144929647,0.279622559015191,FALSE,-0.0625635223880086,0.202719160571588,0.0533290670079727,TRUE
"29","LP002522","Y",0,1,0,1,1,0,1,0,0,0,0,1,0,0,-0.475272463115772,-0.554035609238776,-0.636083445976967,0.279622559015191,TRUE,-0.42665543018345,-0.700563641482313,0.103333333333333,FALSE
"30","LP002588","Y",1,0,1,0,1,0,0,1,0,0,0,1,0,0,-0.127427397782998,0.422299834480736,-0.421995854390116,-5.12641358194517,TRUE,17.1638745031575,0.0708033314063626,1.23630045442395,FALSE
"31","LP002648","N",1,0,1,0,1,0,0,1,1,0,0,0,1,0,-0.535838427432538,1.72396651460941,-0.909639813004611,-2.51660303113672,FALSE,-0.171247673968737,0.274250983428787,0.0442120155626295,TRUE
"32","LP002683","N",1,0,0,1,1,0,0,1,1,0,0,0,1,0,-0.117933273646857,0.100385942991838,0.458142022133607,0.279622559015191,FALSE,0.0732916670879022,-0.0660670828918288,0.0778855545451484,TRUE
"33","LP002732","Y",1,0,0,1,0,1,0,0,1,0,1,0,0,0,-0.467087873343237,0.143786223479195,-0.24358952806774,0.279622559015191,TRUE,-0.247326580075247,-0.376657638414648,0.0762195121951219,FALSE
"34","LP002862","N",1,0,1,0,0,1,0,1,1,0,0,0,1,2,0.118110295393077,0.00128294030417325,0.481929532309924,2.1437729524498,FALSE,-0.169889122073978,0.112297981894955,0.0502688172043011,TRUE
"35","LP002868","Y",1,0,1,0,1,0,0,1,1,0,0,1,0,2,-0.36739956991375,-0.396496008414592,-0.457677119654591,-4.00792334588441,TRUE,1.5832250586916,-0.527153161828496,0.355169692186267,FALSE
